微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IB7kM6gQp,今天周二，又是开放购买的时间。今天开放购买的产品有：小米10小米10 ProRedmi K30 Pro  ,无,无,无,2020-03-31 09:01,小米10 Pro,6883,67,1248
IB2ihhPPf,#小米10pro# 每一片屏幕出厂前都做了精心调教，达到了专业显示器的水平。  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gdc4xrmo2cj21400u0tbx.jpg,无,无,2020-03-30 20:11,小米10 Pro,5291,56,956
IB1IxlHIR,目前还没有完美的全面屏方案，今年大多数旗舰机都采用了挖孔屏。去年我们设计#小米10# ，选择做了超小孔的单孔屏幕。大家喜欢吗？  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gdc4qlagenj21400u0gos.jpg,无,无,2020-03-30 18:43,小米10 Pro,6169,90,1364
IB0OX3tPp,5G旗舰机，电量充足，是不是特别有安全感？#小米10#  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gdc0fvpep3j21400u0taq.jpg,无,无,2020-03-30 16:26,小米10 Pro,5588,110,1457
IAYTUhYcL,专业摄影师用#小米10pro# 拍的黑白照片。“黑色照片有着独特的神秘感，它比彩色照片更抽象。没有了色彩的干扰，人们会更加关注纹路、主体元素。画面表现更纯粹更简单，有种脱离现实的美感。” 小米10Pro | Black and white  ,无,无,无,2020-03-30 11:33,小米10 Pro,1146,63,274
IATLJw0Ax,我们办公室大堂摆了一台98英寸电视，非常大，第一眼看上去非常壮观。但拍照不容易看出大小。我自己做个参照，拍张照片大家看看。随便猜猜我多高？  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gdb618wn28j20u00wo792.jpg,无,无,2020-03-29 22:29,小米10 Pro,9361,176,1631
IAPTigDq0,春花春月年年客，怜春又怕春离别。  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gdanqt1qf5j20u0140tf9.jpg,无,无,2020-03-29 12:37,小米10 Pro,5352,116,869
IAPJOsi6f,春花春好，每日看花尤好。  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gdannxr18jj20u0140dk8.jpg,无,无,2020-03-29 12:14,小米10 Pro,2623,54,458
IAPxMDq0i,今年的春天格外不一样。这阳光、春风和花，都不一样。  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gdanfm6pu6j20u0140wj3.jpg,无,无,2020-03-29 11:44,小米10 Pro,2589,50,455
IAP0vefob,周末一起看个短片： A Weekend In LA 小米手机的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/oHFt9HWVlx07C4yayuLS01041200G7oy0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151389&ssig=XqEdJ4j9iG&KID=unistore,video",无,2020-03-29 10:22,小米10 Pro,2386,146,365
IAOzX5kPe,小米10国际发布会上的小米10外观视频臧智渊的秒拍视频  ,无,"http://miaopai.video.weibocdn.com/D5tCIHq3lx07C3EPMACQ010412006AmU0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151389&ssig=Fxx9K3JxJ1&KID=unistore,video",无,2020-03-29 09:17,小米10 Pro,5468,100,661
IAJFvkhLg,小米10 双扬声器， 立体声就在你的掌上。小米国际吉姆的微博视频 #小米10#  ,无,"http://f.video.weibocdn.com/VQ55oyYBlx07C37b4Msg010412001UYz0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=1d826f6f1a11607b0eef762fee9b15cd&Expires=1586151389&ssig=y%2BcMoJWasj&KID=unistore,video",无,2020-03-28 20:46,小米10 Pro,3465,73,753
