address	averagePriceTip	deliveryTimeTip	deliveryType	discounts2	distance	minPriceTip	monthSalesTip	mtWmPoiId	origin_shipping_fee_tip	picUrl	poiTypeIcon	poi_name	shippingFeeTip	shipping_time	shopName	status	statusDesc	wmPoiScore
"保山市昌宁县田园镇达丙社区居民委员会达丙街西侧"		30分钟	1		1.8km	起送 ¥0	月售100	1024054550493030		http://p1.meituan.net/business/4bb05180f76c795ba741d25d7fa1540866657.jpg		昌宁人民医院	配送 ¥3	00:00-02:00,07:30-23:59	阿六浆米线	3	休息中	48
"保山市昌宁县田园镇文昌社区居民委员会隆祥花园5栋07号"		30分钟	1	"[ { ""info"" : ""折扣商品9.4折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	1.4km	起送 ¥0	月售100	927778563591955		http://p1.meituan.net/waimaipoi/5c6f5398c0201dff35d9966b53a9d1e628896.jpg		昌宁人民医院	配送 ¥3	00:00-04:00,17:00-23:59	玩味烧鸡	3	休息中	47
"保山市昌宁县田园镇文昌社区居民委员会文昌街（农业局家属区）"		30分钟	1		1.6km	起送 ¥0	月售83	998928991842711		http://p0.meituan.net/waimaipoi/f33d09c069e1550fd66653e3039bd5eb22331.jpg		昌宁人民医院	配送 ¥3	00:00-03:00,19:00-23:59	云勇烧烤店	3	休息中	46
"田园镇达丙社区居民委员会达丙街西侧"		30分钟	1	"[ { ""info"" : ""满20减6;满40减12"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.7km	起送 ¥0	月售400	1109606004040466		http://p0.meituan.net/waimaipoi/aa8ba31dbf02abc1ee935ba080456ead24008.jpg		昌宁人民医院	配送 ¥3	07:00-21:30	上海生煎包	3	休息中	44
"田园镇关庙社区居民委员会新园路康馨园"		30分钟	1		384m	起送 ¥0	月售200	1042750543112458		http://p0.meituan.net/waimaipoi/6e8a3f53b65f121f2bead19e21a8deff129452.jpg		昌宁人民医院	配送 ¥3	10:00-19:30	腾冲傣味撒撇（新园路店）	3	休息中	0
"田园镇达丙街西侧，环城北路南侧（茶艺坊5-11号）"		32分钟	1	"[ { ""info"" : ""满20减3;满40减5;满80减10"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	2.4km	起送 ¥0	月售400	957452492635087		http://p0.meituan.net/waimaipoi/2c9246a2e4e99ae8f2ff97728da7a7ff16558.jpg		昌宁人民医院	配送 ¥3	00:00-03:59,07:30-23:59	万达小串串	3	休息中	43
"田园镇文昌街上段"	人均 ¥9	45分钟	1		1.6km	起送 ¥0	月售10	1012492498547480		http://p0.meituan.net/waimaipoi/d0c98683d5b992e2d9f6227f79dffd3721451.jpg		昌宁人民医院	配送 ¥3	11:00-22:00	超爽冷饮店	3	休息中	0
"达丙社区皂角树居民小区"		30分钟	1		1.2km	起送 ¥0	月售0	1115777872066407		http://p1.meituan.net/waimaipoi/5ebe75ca1bb83fd77b7a3e57a098a62511605.jpg		昌宁人民医院	配送 ¥3	09:00-21:00	农家小院	3	休息中	0
"云南省保山市昌宁县田园镇滨河路西侧、文昌路南侧（滨河盛景第1幢）"		45分钟	1	"[ { ""info"" : ""满20减10;满40减20"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.2km	起送 ¥0	月售1	932584631964923		http://p0.meituan.net/waimaipoi/b6fb5e5f24f4b4228741a6211bfa941b30737.jpg		昌宁人民医院	配送 ¥3	09:00-23:00	李记干锅旱鸭	3	休息中	0
"山水田园15号"		30分钟	1	"[ { ""info"" : ""折扣商品8.8折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	387m	起送 ¥0	月售12	891666478568840		http://p0.meituan.net/business/6906cf22716b81047edcf810b6e8a335295509.jpg		昌宁人民医院	配送 ¥3	10:00-23:59	美蛙鱼头	3	休息中	0
